Run,Plate,ID,first_axis_polarisation,second_axis_polarisation
RR,1,A1,0.03360164664629331,0.009468772552431963
RR,1,A2,0.00608738570360536,0.002021474022529966
RR,1,A3,0.04363163441290861,0.0034802862911812054
RR,1,A4,0.0029996770964316006,0.005707318295053393
RR,1,A5,0.026882389756674754,0.017540707321378513
RR,1,A6,0.0039019971096260174,0.0022251685189352264
RR,1,A7,0.004053750907333529,0.0034707330483068214
RR,1,A8,0.010400068055400571,0.023471697543782574
RR,1,A9,0.005297174309948324,0.004385551462020961
RR,1,A10,0.013833596438999752,0.01266889127925962
RR,1,A11,0.008025546076091352,0.003820195192991929
RR,1,A12,0.008424402450721553,0.004983998588004325
RR,1,B1,0.023680672568394078,0.04324176730106026
RR,1,B2,0.010381917107517014,0.04148482523961414
RR,1,B3,0.006316763883771633,0.01178178400622986
RR,1,B4,0.0430554177575586,0.011005586968969715
RR,1,B5,0.05347418859871319,0.02433410670884939
RR,1,B6,,
RR,1,B7,0.015509926630919763,0.03055349310982815
RR,1,B8,0.00649564811111537,0.0028634722717371702
RR,1,B9,0.002855218046499069,0.005214037321176098
RR,1,B10,0.03156731351447625,0.0006704933319803465
RR,1,B11,0.015360034959626845,0.0079245874629148
RR,1,B12,0.002990156583939674,0.007991722489566023
RR,1,C1,0.010579522063694342,0.010910277995513242
RR,1,C2,0.003983564287986496,0.031713763712267466
RR,1,C3,0.00680035726328529,0.021482239433805717
RR,1,C4,0.009043733520035995,0.016013690007614493
RR,1,C5,0.0077125161245029696,0.009469677610708615
RR,1,C6,0.015914986567651113,0.011672449627767085
RR,1,C7,0.01599684693131383,0.007268116132658456
RR,1,C8,0.014924323937159003,0.007625456991261608
RR,1,C9,0.006517089986036802,0.004712204599166194
RR,1,C10,0.008398117241390937,0.013822035601449366
RR,1,C11,0.0033005862752422863,0.006313533198203755
RR,1,C12,0.017045006428743452,0.02820112277255967
RR,1,D1,0.0025199076334635607,0.0018275292245676013
RR,1,D2,0.007089765046664733,0.021876429156880994
RR,1,D3,0.020117735335486196,0.027659802606732443
RR,1,D4,0.01810056988296271,0.002476112105089195
RR,1,D5,0.018710906839818634,0.010442810425246472
RR,1,D6,0.016524514346812895,0.01022734114717937
RR,1,D7,0.0373766472150029,0.03078850088588239
RR,1,D8,0.017253311152385598,0.0038890246446573436
RR,1,D9,0.0050851480610133015,0.008675272368527446
RR,1,D10,0.006981085540907543,0.007422235701238487
RR,1,D11,0.03300687944884677,0.013834539915297053
RR,1,D12,0.027261531585753906,0.010638847565642115
RR,1,E1,0.034729237971075924,0.0008385439263765054
RR,1,E2,0.03216956593151347,0.017332631568277704
RR,1,E3,0.012850418115981817,0.003657546172900149
RR,1,E4,0.0071091015461663,0.012593007526277233
RR,1,E5,0.03445844755558078,0.0056671294434419775
RR,1,E6,0.019145959275754337,0.017795854343713478
RR,1,E7,0.0020069689072991564,0.004499257129118996
RR,1,E8,0.004172290050060318,0.010797287885603047
RR,1,E9,0.0033799640630634412,0.022020162507361555
RR,1,E10,0.04255915025651567,0.010458680072341554
RR,1,E11,0.029034425592525125,0.01595466908972782
RR,1,E12,0.02463166561477654,0.0065339031773546325
RR,1,F1,0.030119713550632143,0.0032177589195975733
RR,1,F2,0.0172480392789748,0.003681498913340646
RR,1,F3,0.030743526076504414,0.012813759597912372
RR,1,F4,0.017422656699006285,0.03138793504750544
RR,1,F5,0.0018183288477819322,0.015334821815709474
RR,1,F6,0.005338090141404,0.002621128078088475
RR,1,F7,0.006651493191436683,0.025001633015448506
RR,1,F8,0.0327362645873766,0.010710383386485117
RR,1,F9,0.008322077849210897,0.011917906034099385
RR,1,F10,0.0007419016638365861,0.0014076072941339142
RR,1,F11,0.0013642391776437284,0.007840968518007424
RR,1,F12,0.012417718942768514,0.008031584971380568
RR,1,G1,0.008741713189459478,0.0044053142033162835
RR,1,G2,0.016182548438857376,0.024447144080097787
RR,1,G3,0.009734888772131712,0.0027041030227165507
RR,1,G4,0.011577954721564273,0.00857048258342676
RR,1,G5,0.011906291310204292,0.001644206312986355
RR,1,G6,0.00751181645474299,0.018646141519283788
RR,1,G7,0.009899887635222036,0.0016220982492696884
RR,1,G8,0.0030437304295392064,0.010247849561480393
RR,1,G9,0.006124839588198172,0.004183647820778149
RR,1,G10,0.031154247151802546,0.005143264133894044
RR,1,G11,0.037690104071596335,0.009372127027237633
RR,1,G12,0.006761420082813959,0.015422930076073463
RR,1,H1,0.045498196100738984,0.0011482652896957133
RR,1,H2,0.002980560943859937,0.003228300182945631
RR,1,H3,0.01748011729032524,0.0020063053983158303
RR,1,H4,0.01565721367246123,0.035314064120110816
RR,1,H5,0.006546829784014802,0.006995816643778547
RR,1,H6,0.04363106697205833,0.01526318948245551
RR,1,H7,0.0030563674582394563,0.004212518942294998
RR,1,H8,0.047701560091744956,0.03614715768729808
RR,1,H9,0.0021188387015627086,0.00047841563883511083
RR,1,H10,0.0409999013638819,0.019650086178909364
RR,1,H11,0.015114775333096638,0.01188906002461059
RR,1,H12,0.026269717893568873,0.002032882379479094
RR,2,A1,0.0021215148019318518,0.014246313763112294
RR,2,A2,0.005302876687340669,0.0022403875739499157
RR,2,A3,0.008000974049474809,0.0017601656067017498
RR,2,A4,0.017109313683108383,0.021144747014962984
RR,2,A5,0.007046473429153816,0.0059125584160487936
RR,2,A6,0.026129379614923766,0.01382746169625193
RR,2,A7,0.010779828235644641,0.0017084502554453227
RR,2,A8,0.02755128344537283,0.0009893271226109632
RR,2,A9,0.005057633748061423,0.0026025309146028826
RR,2,A10,0.03872643559513331,0.03981636249904193
RR,2,A11,0.027953145027803685,0.016556231717725158
RR,2,A12,0.013706608755318254,0.0044490891547327984
RR,2,B1,0.00193519931713045,0.01673437181064765
RR,2,B2,0.0211813967252645,0.006683212445342615
RR,2,B3,0.004262113996654642,0.0009561577736629202
RR,2,B4,0.026920617367827433,0.007947586721982244
RR,2,B5,0.010109711029814792,0.0014570568249911786
RR,2,B6,0.002295762982451777,2.6056935579657982e-05
RR,2,B7,0.014105106166005089,0.0057446139975419865
RR,2,B8,0.013694104508370336,0.007885668544796923
RR,2,B9,0.027812953200290175,0.023307538559817903
RR,2,B10,0.007796319131710456,0.010640061739593257
RR,2,B11,0.00821539178381615,0.009088293370817643
RR,2,B12,0.01325716268655726,0.021094774853951646
RR,2,C1,0.008064464509841003,0.005234484518125903
RR,2,C2,0.007790623193982687,0.008803767408604432
RR,2,C3,0.008878475944298901,0.003199004763017241
RR,2,C4,0.022191802255855014,0.030591515545721273
RR,2,C5,0.006888759439968917,0.030273932221428167
RR,2,C6,0.01540215821271526,0.0215860243350411
RR,2,C7,0.005760481338985842,0.0057938775890953725
RR,2,C8,0.0372887694874883,0.04498671470405287
RR,2,C9,0.00782962772214398,0.013962101664826386
RR,2,C10,0.003722372217808961,0.00463509062149825
RR,2,C11,0.03408340580170641,0.024702966905615704
RR,2,C12,0.003092127969304507,0.0076715940943482925
RR,2,D1,0.01027523314364442,0.01130730366136245
RR,2,D2,0.0017460346904440707,0.001837919851396287
RR,2,D3,0.00801323005202333,0.022799219447118695
RR,2,D4,0.012630418673834692,0.11470584361699436
RR,2,D5,0.027412120430979344,9.010747537641957e-05
RR,2,D6,0.00741658066258286,0.01425079401364347
RR,2,D7,0.020172454369739242,0.03974365792112472
RR,2,D8,0.026760673574485923,0.00859927140634993
RR,2,D9,0.02120270868284532,0.00029034294863797614
RR,2,D10,0.012874245823463965,0.004439105399510769
RR,2,D11,0.0069048538277667855,0.007578134604727392
RR,2,D12,0.008615232938604738,0.009512048550713135
RR,2,E1,0.018829230048753032,0.02761264341264412
RR,2,E2,0.012436857481319265,0.007964344836409013
RR,2,E3,0.003094823988368661,0.006631760294581568
RR,2,E4,0.03610434562914364,0.01954011595242596
RR,2,E5,0.008558407608705276,0.02967870890961214
RR,2,E6,0.0033752747363752326,0.007604084831595964
RR,2,E7,0.02266175587136209,0.035729540562405446
RR,2,E8,0.0005017357569107877,0.004974961727757293
RR,2,E9,0.02064805123784661,0.013484914936698332
RR,2,E10,0.008420518970976374,0.0019272787778317605
RR,2,E11,0.03520281450909101,0.02758386587768851
RR,2,E12,0.010024963047193438,0.009537215935879013
RR,2,F1,0.02725587646378246,0.012401097163559867
RR,2,F2,0.0013944351513016065,0.014027937565648399
RR,2,F3,0.008641715979926495,0.01058809345940205
RR,2,F4,0.005906255726422297,0.0040978130869134865
RR,2,F5,0.017881760843944276,0.01813533875866367
RR,2,F6,0.027376768075245916,0.026777754968182896
RR,2,F7,0.007849568855888908,0.00863290192452242
RR,2,F8,0.003978711084399902,0.002038357330039627
RR,2,F9,0.01866506982532041,0.008461070060827736
RR,2,F10,0.03358265559408951,0.0018976589439367963
RR,2,F11,0.0048983272321637605,0.014565689310498729
RR,2,F12,0.008197830254420927,0.005501485765121875
RR,2,G1,0.024778958339197427,0.019694925631803212
RR,2,G2,0.011945879801764106,0.025457434592014296
RR,2,G3,0.0047519711479800004,0.0011513151586632505
