Run,Plate,ID,area,eccentricity,major_axis_length,minor_axis_length,equivalent_diameter,perimeter,extent,orientation,form_factor,aspect_ratio,moments_hu_0,moments_hu_1,moments_hu_2,moments_hu_3,moments_hu_4,moments_hu_5,moments_hu_6,inertia_tensor_0_0,inertia_tensor_0_1,inertia_tensor_1_0,inertia_tensor_1_1,inertia_tensor_eigvals_0,inertia_tensor_eigvals_1,locoefa_coeff_0,locoefa_coeff_1,locoefa_coeff_2,locoefa_coeff_3,locoefa_coeff_4,locoefa_coeff_5,locoefa_coeff_6,locoefa_coeff_7,locoefa_coeff_8,locoefa_coeff_9,locoefa_coeff_10,locoefa_coeff_11,locoefa_coeff_12,locoefa_coeff_13,locoefa_coeff_14,locoefa_coeff_15,locoefa_coeff_16,locoefa_coeff_17,locoefa_coeff_18,locoefa_coeff_19,locoefa_coeff_20,locoefa_coeff_21,locoefa_coeff_22,locoefa_coeff_23,locoefa_coeff_24,locoefa_coeff_25,locoefa_coeff_26,locoefa_coeff_27,locoefa_coeff_28,locoefa_coeff_29,locoefa_coeff_30,locoefa_coeff_31,locoefa_coeff_32,locoefa_coeff_33,locoefa_coeff_34,locoefa_coeff_35,locoefa_coeff_36,locoefa_coeff_37,locoefa_coeff_38,locoefa_coeff_39,locoefa_coeff_40,locoefa_coeff_41,locoefa_coeff_42,locoefa_coeff_43,locoefa_coeff_44,locoefa_coeff_45,locoefa_coeff_46,locoefa_coeff_47,locoefa_coeff_48,locoefa_coeff_49,locoefa_coeff_50,locoefa_coeff_51
RR,1,A1,51519.76173983999,0.31463937015611687,264.0212417923451,250.61194263076376,256.1191089756833,905.2399524612379,0.7642969275622337,-0.15040140456789314,1.2657377017860476,1.0535062256842953,0.16075574380551852,7.008419293591838e-05,0.0001256017325677511,1.5568883687687373e-07,1.5886770407024406e-15,-3.470856864069247e-10,6.884665906139082e-13,520.6061095673464,8.4532227875518,8.4532227875518,575.105040211068,576.3860907594693,519.325059018945,0.0,47.074642903967,1.2777433754873537,2.8986574917200074,0.4789715253854329,0.3221908824417611,0.38268271999375897,0.1926595425721776,0.09542330574508963,0.08141939118815011,0.15784445745247358,0.19427565182854664,0.12393939523004026,0.12393083708105719,0.14987758541293192,0.03400882464442611,0.08352216449410835,0.14652497702100406,0.14714260371458732,0.06312311753754472,0.05139140494631447,0.0423663484231304,0.04659332040933914,0.04351345646303962,0.14948504278476032,0.043523180396101396,0.07700718165129099,0.04080628730278327,0.10449611208499511,0.06031398864535631,0.08625463626876628,0.0659519053142727,0.018116979479074466,0.03187647943941323,0.0205008499485767,0.023733310019148347,0.015500987239589039,0.022325377872650178,0.0522403575127756,0.051536219725103305,0.051166419709643814,0.11040080342671608,0.03829839956160369,0.019001411815707258,0.05432431075109156,0.1019916875869751,0.043424876948073586,0.06566990185594425,0.03549063096812794,0.027555936975623547,0.03558091615800326,0.0
RR,1,A2,46032.181484099994,0.18648251761487053,244.4961774713971,240.20729382130554,242.09500985353222,826.3392081735585,0.7604895104895105,-0.063457463251882,1.1804437539149335,1.0178549268086845,0.15950515625092906,7.966686192560416e-06,8.663203977298514e-06,1.2106816761743393e-08,2.490971252815768e-15,3.3681279590759154e-11,-3.027938219517226e-15,477.16771676090184,1.087858315740089,1.087858315740089,494.2186848072563,494.2878103473213,477.09859122083685,0.0,44.48109217782014,0.3856366581874891,0.6833922329201886,0.5590465383573657,0.8707673181521352,0.2531086696664276,0.3543839573830213,0.24363123425682584,0.2525591078978278,0.10895301244398785,0.20121227456545185,0.05627822511759476,0.04646429734631191,0.049431323167173385,0.020509958578779432,0.11654309362152003,0.12084849086270301,0.0464778210189127,0.07739249978441248,0.08972861019651364,0.04679573404533266,0.06321608403968967,0.02855184031464763,0.06185239107973733,0.02866740831350685,0.09472330378827791,0.08587503854970922,0.06440578127706008,0.06997367308630358,0.03170852196771791,0.044816113232650605,0.019726754686583428,0.019649559380914627,0.06344645336042505,0.07915891158890659,0.0351556608405711,0.04557567946311831,0.08089622121918148,0.00384322343831858,0.01907122946118349,0.02869026066538629,0.09526492905651864,0.048376450314298665,0.06006458016204384,0.035707332873761564,0.009180314480364493,0.012755236341847128,0.03666396925723534,0.02509842039750316,0.01425412738726883,0.0
RR,1,A3,55049.65151866999,0.40159809691038345,277.85984964278066,254.46849950435563,264.74779175181186,944.6735630731083,0.7529983457402812,-0.03735093391576681,1.2900278470491608,1.0919223801137894,0.16117303807472935,0.00019985759473295774,0.00010787799171461067,2.293835817684451e-07,-4.583326517700481e-13,-2.5851784049077158e-09,1.0449678164125194e-12,535.5749413263119,3.8420950766098634,3.8420950766098634,638.2482949719421,638.3918675831368,535.4313687151172,0.0,48.70483737872607,2.0988496389975455,2.7904595174942304,1.0885178574825525,0.31926456635791206,0.25049405262978375,0.8275166822499911,0.23568543756522206,0.3295879617263778,0.4216410447611095,0.14725875169793104,0.03623864305493387,0.04595321917594061,0.0633059923428934,0.07560383254784082,0.0641066100011626,0.06742007418157199,0.1857436532783734,0.14634771439476568,0.045321234899186595,0.08350930693247677,0.07840140118651978,0.11469599454009982,0.006431376357976787,0.08285694873279101,0.06799104661664178,0.1360175163660017,0.030397135894157566,0.06469540921048691,0.08706331592054255,0.01590118359438596,0.04416330406542162,0.02755632391701379,0.03840556135272033,0.05348310015708574,0.05112122406126699,0.05358752374659405,0.06021583032247566,0.017989698098379536,0.03665249386758856,0.05263962375831531,0.07801171763793904,0.07639728213196603,0.04429125757404015,0.03831777638629514,0.06545644839737189,0.0788437925985013,0.026781825667532864,0.020087864558660937,0.02881271073744298,0.0
RR,1,A4,46886.308989469995,0.32427580342296847,251.37498657881375,237.791330925186,244.33072404440858,835.5305187854291,0.7920071501532175,-0.4975772011359296,1.1848646045464102,1.057124267738345,0.15960696139405095,7.845386824802586e-05,4.3496398290810875e-06,2.6686836165455576e-09,2.2846110019625535e-16,2.198886305453961e-11,1.7457056946355601e-16,480.06635486477194,23.044095480002184,23.044095480002184,509.9756266625261,522.4922752505354,467.54970627676266,0.0,44.82931795419789,1.276088644440478,0.5135770006708884,0.7215239017500944,0.3329661645200944,0.07113368444673035,0.09919578720708973,0.14826610575415528,0.09665938328533279,0.10778279282806391,0.02575831850109051,0.04124983630408701,0.14320999402944656,0.1518673898124927,0.15917510129325924,0.05323705887829187,0.11012910332527438,0.10610211677255062,0.07383727721705134,0.11883548136754761,0.0580013131054286,0.06891996090344651,0.08311359865309359,0.08225826968650787,0.011813026059806575,0.026270740359625813,0.0964602352851677,0.02242423609476955,0.06051307641231074,0.08040539295989008,0.08292340549580289,0.047557639735242366,0.024275111900087253,0.01620382792661433,0.024997767613604147,0.017605241181052785,0.016963056209419684,0.0744927173876123,0.05518148381019366,0.0616777847880247,0.027304915174665288,0.09473152062545695,0.03676158379985101,0.07632671012447227,0.04751369863004881,0.06964122354258513,0.021901187282284733,0.06476258229114908,0.028652825739676167,0.020841730134681345,0.0
RR,1,A5,51451.733885429996,0.36328640401478574,265.67669522867936,247.52500273375918,255.94996039874596,905.0445657260759,0.7711566783731733,0.33186300740659247,1.2668641638089257,1.0733327635367986,0.1601655612563791,0.00012804730007237087,4.0055544338649915e-05,9.111422292012526e-08,-9.880502511062801e-14,-3.747172648911937e-10,-1.433041156427266e-13,514.7864574548851,-23.7263667019465,-23.7263667019465,575.4605180172875,583.6368085894969,506.6101668826756,0.0,47.022978468175,1.786455090109822,1.6002689043603548,0.5987480247094227,0.5983587830982219,0.29119912836968587,0.15265070241815928,0.36110544496638286,0.15897446102149224,0.22021859571077498,0.22422010875699608,0.15787650834194925,0.15150089080935894,0.05058229164530881,0.05249925583217514,0.17860688793182347,0.03572152007535895,0.07853276322482658,0.07145590957767091,0.06384943841777264,0.14432496096537534,0.06588118028744419,0.013858933978053472,0.11517586748274124,0.06622571115254072,0.06896204056025076,0.07587958296432927,0.050678346289033505,0.03541420895308865,0.009296796928343315,0.04011065295514941,0.04059937310955883,0.030170182091092825,0.06232417784014047,0.04425981722566959,0.10270485824613555,0.022640763454794956,0.020963009651808258,0.049928931307316765,0.030360750251377706,0.07545536112091217,0.035434843025825925,0.04207473642215572,0.016639568077615543,0.06934801059978694,0.044880593655592,0.059128137873084505,0.0256025540184874,0.023746066771766668,0.02499228455736683,0.0
RR,1,A6,52449.475750109996,0.4267629474420617,271.8699070037817,245.86922764079853,258.41971021125306,858.1920108265261,0.7787878787878788,-0.18518964221913964,1.1174238042603066,1.1057500347337843,0.16011232895240848,0.00025731737344069955,2.808649521391631e-07,2.7315452568774715e-10,-2.0079484459732325e-18,-3.458148194798729e-12,1.3009411342350965e-18,503.6290113498268,20.14525886868586,20.14525886868586,607.3904392509356,611.16437411704,499.8550764837224,0.0,47.479144069545626,2.3449777314837763,0.1505307053736811,0.46492065293971796,0.5230901866879046,0.46115362942533933,0.23713677979435216,0.41067494821474554,0.14360046084623398,0.2317939044636445,0.07393718181049479,0.03659246005000468,0.1155849842349833,0.06153846182912686,0.09455453366909213,0.11521189341302916,0.06168927011633023,0.10812374728409548,0.07617694280471789,0.07238088591533744,0.10775493327019715,0.045810404864854465,0.05198020648914553,0.010883416310734724,0.044634593498800834,0.028431765779419745,0.0601325380095304,0.04277784474061553,0.03716977125032997,0.06145971425199128,0.04116287406450666,0.05851419964494624,0.045512620429282315,0.06336769942027734,0.029236782018256746,0.025875488403963004,0.033456655617237305,0.02860017763823756,0.04865508616549524,0.04113141903019656,0.028644098027474325,0.003955197844049227,0.0364542918762299,0.021513710808728596,0.017902359219742033,0.020130864089046515,0.026799698331972936,0.04901912338442582,0.004683318511376069,0.004182377975287015,0.0
RR,1,A7,46924.102241919994,0.18174232718628378,246.62750672836947,242.52021872955848,244.42917701372812,857.639373684979,0.757997557997558,-0.3054447755006635,1.2473938127852757,1.0169358580506278,0.15935465178277092,7.160749462930049e-06,7.092705172384443e-06,5.614508474755934e-10,-3.483408559610509e-17,9.403261381434325e-13,-6.4718881156892404e-18,487.83293669022856,4.76439031113826,4.76439031113826,501.4407415772134,502.94301174795373,486.3306665194882,0.0,44.843963215700725,0.24914533678853898,0.7301596619484686,0.3276332750462973,0.30638044557732586,0.36257992010201423,0.1097585539528826,0.13731100666315077,0.14492247510026796,0.18236385513273126,0.23500864193952592,0.1361502893846706,0.15485969182809106,0.04277814305874092,0.08534631734311879,0.12009471865889275,0.031753888266125053,0.11140267935372788,0.02114032184384296,0.04991295564384528,0.08876791322863935,0.054583899977160795,0.050592791013487515,0.04413240143331363,0.08867009333877124,0.05064023530295817,0.07242227938710578,0.06363877089186773,0.007815876035018245,0.036089301473343965,0.031520717476909904,0.019731491779355827,0.07575121580573393,0.014622374696193551,0.05482895299869651,0.05742398822744276,0.03707242970807113,0.029569495193243693,0.03874527128792769,0.052924148964554614,0.03395979659219751,0.05112682727559012,0.011613693677947508,0.02438102655498749,0.03275510054085912,0.03305135809173786,0.030790897624900032,0.02990786123598365,0.015829074986123952,0.014480434614646535,0.0
RR,1,A8,46221.14774634999,0.5116547719357846,262.07677423856666,225.17403926865214,242.5914118712766,856.8104179726583,0.7504909180166912,0.15537213685320392,1.2639179665223719,1.1638853887853668,0.16143528094950993,0.0005911542793786987,2.735894116238144e-05,1.6225762105713793e-07,-1.1730697019086222e-13,-1.7930395392230196e-09,-3.2111085945712254e-13,422.8097166264745,-22.730447828450203,-22.730447828450203,564.3670263797788,567.927400583618,419.2493424226354,0.0,44.59813849889987,3.439471147298241,1.192144237801334,0.24096886822293534,0.46466285511197813,0.15653027628398747,0.5087880525145406,0.3157883312959796,0.17159386969767124,0.16195865259512007,0.12765818941379128,0.15268404823910867,0.12572312847351438,0.03958629772005413,0.18859430560736398,0.0645686821398442,0.026536475354835155,0.07283013066875842,0.08511320509016167,0.08696159346411017,0.040696358230593026,0.06008527340020296,0.03418619598043471,0.08208392096609084,0.055214632958715405,0.04095547138797527,0.08924414953381678,0.055177938687924255,0.013884278803861012,0.11531278204255808,0.03482903753127009,0.0797279242879602,0.0175140615843756,0.06370082316707248,0.09112296422851443,0.08604661478019973,0.06073880471577146,0.01785088508805531,0.08627882901415762,0.09488227204637163,0.02037972386100385,0.04902410544602697,0.042068296252724804,0.027349510610537385,0.09804154569605207,0.07531057241066577,0.08261773020229388,0.05299843694320024,0.03819693259127162,0.014892507655633736,0.0
RR,1,A9,49161.46278695999,0.3722068593063262,259.9259274777779,241.25019797371604,250.18856588058452,904.1011551142053,0.7450171821305842,0.2353118747807434,1.3231204670044499,1.077412286750109,0.15988532819717421,0.000141594485565324,5.835227580506035e-06,1.0359397067874688e-08,2.356996016968959e-15,1.2230170206814561e-10,-9.653127878933333e-16,485.4572925318736,-17.546712099962335,-17.546712099962335,554.4368820625475,558.6437673676511,481.25040722677,0.0,45.96470501587224,1.6950094556797008,0.6189349834007571,0.27027340706623254,0.798262005957015,0.43714605634370424,0.3053470807680173,0.46213560500030526,0.07933232998630882,0.15551233337270207,0.168325370056751,0.1745804447880245,0.19642306951686755,0.15563867632367667,0.012418778955641495,0.09517771304041635,0.09855118184677991,0.06317110305312372,0.061473437827437,0.04871250570615377,0.024685218677957338,0.06486109290265767,0.05715485910814304,0.0836919129316436,0.0373150624061058,0.03143906187075904,0.02417973085621753,0.018342153489131034,0.055852926845748836,0.06220279710481752,0.04612951389102561,0.038831630901825245,0.06991002094508433,0.056132584595611885,0.03925271603237917,0.052920362183125264,0.04540897070062625,0.05527546970271101,0.02794540814256279,0.008872990910259785,0.029681232904061317,0.06622934237514047,0.040671339323967264,0.01225727277184629,0.054228876336833105,0.034942235136369314,0.043814417892078225,0.03206161912680385,0.014743431107193814,0.02961081966532954,0.0
RR,1,A10,44082.04965767999,0.1692063385795602,239.1755520999246,235.72679577879106,236.9113944856543,817.1478975616878,0.7286356821589205,1.260514400162613,1.2053958497189752,1.0146303109484842,0.15988943890735183,5.392251354110979e-06,1.876929184943747e-05,1.9175807102013806e-08,-8.584922547427564e-15,-3.4418394124189665e-11,7.65796988861637e-15,471.74640646845086,-3.937474950182615,-3.937474950182615,460.72880123922505,473.0089120900713,459.4662956176046,0.0,43.53613075086322,0.3535403152957772,1.0715540852637575,1.4315192241619816,0.3991678041798394,0.6690160475762664,0.3754142246205963,0.32106729993600913,0.04079373760723743,0.3033062954634882,0.127898219249834,0.03562091132167812,0.05693998034778658,0.02680421353369978,0.1118500572420653,0.0555018844827654,0.042124595795753464,0.10163185772023847,0.02482843890218041,0.05211985993660641,0.05331663462398894,0.03283358052743669,0.03969221841337818,0.06469628248266253,0.07624005011087813,0.04190304212320196,0.09129694397981503,0.07775901763526707,0.07513026493423534,0.04229551106524339,0.0595283887982405,0.02959451768065011,0.11722305243765321,0.006648673561302206,0.059788846063097666,0.07338408354700286,0.05946452400138403,0.07056277967298544,0.07035619651809932,0.04435036050054544,0.04209446668942154,0.010306046069275822,0.0452600031203169,0.061236733048175215,0.018643980333218433,0.06274562290046337,0.07530876685567152,0.044858780873942954,0.003180731163864957,0.01952107581823112,0.0
