Run,Plate,ID,area,perimeter,axis_major_length,axis_minor_length,eccentricity,feret_diameter_max,solidity,aspect_ratio
RR,1,A1,51429.05793395999,848.52899490872,260.6948365361446,251.60920942099378,0.26170313063853723,266.7246115600883,0.9850875922976691,0.9651484193708183
RR,1,A2,46107.76798899999,807.0941081735585,244.7532052609148,240.3122555731886,0.18963116553725215,252.89077048379997,0.9840296822068075,0.9818553972235338
RR,1,A3,54482.752731919994,885.0179187854292,272.94595270535916,255.0018015407272,0.35659912575290903,280.3342454009677,0.9838929838929839,0.9342574931528572
RR,1,A4,46999.68874681999,817.0334426621379,251.33771303114463,238.37543842057758,0.31699603755855615,256.3197028304301,0.9854199683042789,0.9484268617938731
RR,1,A5,50680.75153544999,844.9172161324615,262.58088617304134,246.04097726380584,0.34930190917992293,267.3614738213604,0.9854497354497355,0.9370102327313511
RR,1,A6,52449.475750109996,858.1920108265261,271.8699070037817,245.86922764079858,0.4267629474420613,282.85741184676425,0.9849538679914833,0.9043635257409294
RR,1,A7,47181.09635857999,812.8690267443321,246.7254187364118,243.75573633540054,0.15468644935151946,255.5814107766447,0.9846979018772677,0.9879636138983156
RR,1,A8,47007.24739730999,818.367626744332,266.4008923646017,225.26739402713108,0.5338241859491271,271.4020063025511,0.9824644549763033,0.8455954934220923
RR,1,A9,49554.51261243999,838.4752055205909,263.7701212976289,239.9504299678275,0.41527644740434466,274.93,0.9826139088729017,0.9096952633883649
RR,1,A10,44240.781317969995,795.8205896027848,239.8008323049909,235.9404253924445,0.17871099151850275,256.40815502245636,0.9825415477589391,0.9839016117023458
RR,1,A11,45518.193250779994,802.8152373562026,250.12547079631747,232.2259350451356,0.37148795660316924,257.92185437161,0.9822214973087587,0.9284377728737677
RR,1,A12,48156.162271789995,819.0347187854289,256.4528644393604,239.37908652899696,0.3587769339733974,261.1835,0.9842422369843967,0.9334233292824047
RR,1,B1,48224.190126199996,836.5883842968497,269.8073658685151,228.79551802805057,0.5300029169622483,272.9987066478521,0.9815384615384616,0.8479958183927018
RR,1,B2,50121.411399189994,837.5317949087203,268.5815007727341,238.11403246568133,0.462610648948804,275.58904209623427,0.9863156329019783,0.8865615531248614
RR,1,B3,46742.69463016,808.3138373562026,259.4351641846255,230.69562786656576,0.45747464802824966,265.4890126149291,0.9861266145750279,0.889222664135046
RR,1,B4,49373.10500067999,840.476481643882,257.64375035563546,244.8830580065572,0.3108115322841553,265.65978172303386,0.9819603126879134,0.9504715626462348
RR,1,B5,49630.099117339996,833.2529240913643,254.23489303118484,248.7600240283632,0.20641131864229492,260.0669232803741,0.9858858858858859,0.978465312382789
RR,1,B6,,,,,,,,
RR,1,B7,48783.53026245999,843.3876453151056,261.90219230105134,237.96392816934608,0.41767073328340987,274.5172952389339,0.9824935302176891,0.9085984583733889
RR,1,B8,48299.776631099994,837.0265665388467,277.52716496505366,222.70762969546132,0.5966905004794159,290.45154177399365,0.9790102650528574,0.8024714615720762
RR,1,B9,48662.59185461999,835.5305187854291,260.3937282182556,239.82046429592262,0.3895821803787974,269.7398183745588,0.9832009773976786,0.9209917072000714
RR,1,B10,45707.15951302999,802.8152373562026,246.87712380019968,235.89394078177966,0.29495371959821226,254.1876165129214,0.9835718932986337,0.955511540116172
RR,1,B11,49100.99358303999,831.9187400091703,258.1397726870737,242.85232090075098,0.3390221415689456,263.0866065327728,0.9842424242424243,0.9407783944829972
RR,1,B12,49025.40707813999,827.7543240913645,257.92206503819784,242.29521482182736,0.3427887596248178,264.4192070037651,0.9842185128983308,0.9394125112403384
RR,1,C1,51126.71191435999,860.7459240913645,261.0904790280055,251.0060332335213,0.2752395834449257,271.12335940536366,0.983997672388711,0.961375666274669
