Run,Plate,ID,area,perimeter,axis_major_length,axis_minor_length,eccentricity,feret_diameter_max,solidity,aspect_ratio,straight_area,straight_eccentricity,straight_major_axis_length,straight_minor_axis_length,straight_equivalent_diameter,straight_perimeter,straight_extent,straight_orientation,straight_form_factor,straight_aspect_ratio,straight_moments_hu_0,straight_moments_hu_1,straight_moments_hu_2,straight_moments_hu_3,straight_moments_hu_4,straight_moments_hu_5,straight_moments_hu_6,straight_inertia_tensor_0_0,straight_inertia_tensor_0_1,straight_inertia_tensor_1_0,straight_inertia_tensor_1_1,straight_inertia_tensor_eigvals_0,straight_inertia_tensor_eigvals_1,straight_locoefa_coeff_0,straight_locoefa_coeff_1,straight_locoefa_coeff_2,straight_locoefa_coeff_3,straight_locoefa_coeff_4,straight_locoefa_coeff_5,straight_locoefa_coeff_6,straight_locoefa_coeff_7,straight_locoefa_coeff_8,straight_locoefa_coeff_9,straight_locoefa_coeff_10,straight_locoefa_coeff_11,straight_locoefa_coeff_12,straight_locoefa_coeff_13,straight_locoefa_coeff_14,straight_locoefa_coeff_15,straight_locoefa_coeff_16,straight_locoefa_coeff_17,straight_locoefa_coeff_18,straight_locoefa_coeff_19,straight_locoefa_coeff_20,straight_locoefa_coeff_21,straight_locoefa_coeff_22,straight_locoefa_coeff_23,straight_locoefa_coeff_24,straight_locoefa_coeff_25,straight_locoefa_coeff_26,straight_locoefa_coeff_27,straight_locoefa_coeff_28,straight_locoefa_coeff_29,straight_locoefa_coeff_30,straight_locoefa_coeff_31,straight_locoefa_coeff_32,straight_locoefa_coeff_33,straight_locoefa_coeff_34,straight_locoefa_coeff_35,straight_locoefa_coeff_36,straight_locoefa_coeff_37,straight_locoefa_coeff_38,straight_locoefa_coeff_39,straight_locoefa_coeff_40,straight_locoefa_coeff_41,straight_locoefa_coeff_42,straight_locoefa_coeff_43,straight_locoefa_coeff_44,straight_locoefa_coeff_45,straight_locoefa_coeff_46,straight_locoefa_coeff_47,straight_locoefa_coeff_48,straight_locoefa_coeff_49,straight_locoefa_coeff_50,straight_locoefa_coeff_51
RR,1,A1,111059.25164956998,1240.8834622603376,383.2586370388876,369.7818815883623,0.2628511584757049,394.2154919259262,0.9909624333985296,0.9648363946742368,111588.35718387,0.2044160238244217,381.4857380115354,373.43032486946703,376.9332952904736,1338.36221450692,0.7923465006440532,0.0526137708293398,1.2773755106606923,1.0215713952659953,0.1596165490683441,1.1600994952341252e-05,1.8598093628428524e-05,4.824832146467814e-09,-1.412213411261499e-15,-1.6430406153789145e-11,-3.074748919001363e-16,1153.2070615015034,-2.6407050311584044,-2.6407050311584044,1203.212052394461,1203.351118188541,1153.0679957074233,0.0,69.04852168336684,0.7310105124036383,1.6853463536272624,1.2838031349602497,0.9613088332328624,0.4019419837059394,0.26784612660546,0.210682652332693,0.4818588068503216,0.2074473162996648,0.2562118735372152,0.1433585090364167,0.0925168279712446,0.1457554003887863,0.1515810751793915,0.0748989284530314,0.0889965718783338,0.111931481586,0.0478048286492345,0.0617106647944662,0.0455989095846606,0.0339059889698292,0.0704094919764352,0.0219877486912461,0.0342441845777479,0.0694970578855297,0.0079783110226152,0.0463213222447411,0.0297809157742098,0.0262319981817868,0.0760728799824183,0.0659540853756517,0.0057169361688447,0.0702232396965173,0.0349579698317334,0.06378418397788,0.0607623198218786,0.0549147036859979,0.0492548592643713,0.0371674966967782,0.0658623516935508,0.0916736819725099,0.0692024349846805,0.0607812385722289,0.0571113793684691,0.0383719690349019,0.0363172363365141,0.0272873461736929,0.008082022754601,0.0188123621979555,0.0
RR,1,A2,97302.50775776998,1175.7292179726585,369.71672608571765,337.4326847229176,0.4086772297703873,383.9975960327356,0.9890135218192994,0.9126789807304656,98065.93145725998,0.4650634966779848,377.9869660432771,334.6232905889575,353.3573572499537,1269.9869649133054,0.7637155639274782,-0.3114642580307558,1.3087916182782304,1.129589531493749,0.1624206345900138,0.0003878644963435,0.0001882546030332,8.030578171418299e-07,2.0909072492799333e-12,2.485784728837872e-09,9.65007450783959e-12,949.8620092754552,74.5353573114853,74.5353573114853,1157.3833038953835,1181.3794232153464,925.8658899554924,0.0,64.73204473685581,3.8350208264703967,4.755844276186301,0.7185244465082725,0.4800030137531603,1.2684388797452069,0.8725509204573071,0.2517540912406718,0.1071007614160371,0.1626779357300276,0.1838624726772322,0.1210839977589186,0.1616311618467729,0.1102925234614915,0.1146100186002577,0.0704049471169421,0.0407706750596714,0.0329356865996037,0.0473970997717425,0.0199597492158198,0.0476174355056956,0.0910326820520458,0.0295059755138156,0.0722248296646846,0.037872447902092,0.0488390962490954,0.0048134396324461,0.0391067311272981,0.0270349788940029,0.0517452697030505,0.0504066111072689,0.0362048866624991,0.0254024213035766,0.0316415593095332,0.0144909704870078,0.0591420536598848,0.0135700182445614,0.03996484680628,0.0537454173035147,0.0439041594279706,0.0520478981607563,0.0249985309773734,0.0466503380865784,0.0276973801388238,0.0104787993580403,0.0169705052106313,0.0118047057645522,0.0397788712116338,0.028769120077932,0.0067566893173036,0.0
RR,1,A3,104324.49406297998,1213.6667808311113,379.84006970088944,350.35907323110393,0.3862699842182902,388.31368585849503,0.9866323539924228,0.9223857649009995,103115.10998458,0.3709662769309739,376.60879042299706,349.73637414558766,362.3399449302862,1293.5444587945994,0.7733560090702948,-0.1513101547196734,1.2913100957169437,1.0768362065371646,0.1601060894857436,0.000139963550992,3.362016974068488e-05,6.502767052921108e-08,-8.891569830068792e-14,-7.558532876174495e-10,-3.6588715884059935e-14,1015.0539309856604,24.04941576159473,24.04941576159473,1169.1133417788546,1172.7802900424967,1011.3869827220184,0.0,66.38444944147554,2.450130457533758,2.137007955404761,0.4036874405193269,0.466111203322422,1.14616428330494,0.2900653036817469,0.3249238548037734,0.3626570612849595,0.0272581357811043,0.2491272246166991,0.1622049474850357,0.0455193101432419,0.1788321984872489,0.0767154165115841,0.0611953947932351,0.1038707503411451,0.1493721692538981,0.1049170673444177,0.0181572427198246,0.1102459055644985,0.0359270506930324,0.0745726304918446,0.0327395440927149,0.0502938285950538,0.0233490317389651,0.0519143447381625,0.028006321751962,0.0358146106757236,0.0778534302576949,0.0387371542407366,0.0083559678203486,0.028251039700201,0.0645116339335511,0.0121621601239419,0.0493730600618246,0.0382021671952384,0.0643161129917999,0.0478392709323934,0.0263577291566099,0.0515417320785046,0.0532049608083293,0.0846148943731299,0.0820403207388378,0.0657149862491164,0.0123502389751165,0.0418481406424374,0.0569908970968949,0.0245328355302339,0.0303528274936634,0.0
RR,1,A4,106637.44111292,1265.317320625626,437.6704096925197,312.97759173507154,0.6990233783411184,462.086915733404,0.985470801899972,0.7150988159216667,106085.65962715,0.694354577278991,435.1820370103935,313.17137489349227,367.5220496332184,1364.669008388214,0.7062345896442409,0.1335921965272615,1.396973322236977,1.3895971084790122,0.1693558985726165,0.0028937148058552,9.579755472654004e-05,6.138730901325158e-06,1.475413594163804e-10,3.29852799068652e-07,1.9813910158044523e-11,824.3550339581857,-99.66480454672782,-99.66480454672782,1552.555002508488,1565.949219267608,810.9608171990657,0.0,67.92612693190972,11.256154885631798,3.2630116593162124,2.687183076781336,1.4175863396191226,0.9063087629689468,0.7098276200506619,0.5883995433545484,0.1766651341825243,0.1106072723859918,0.253527865136282,0.0855676245966263,0.2507282508191796,0.1693412675606818,0.0799995501044453,0.0620329637252888,0.0737256396639716,0.050567625259778,0.0192978422970672,0.1498154593208299,0.0444485427388226,0.0834153836734318,0.0839672376233471,0.0630917448199472,0.0228648298651018,0.0362767901747696,0.0315066145575251,0.0556146035502882,0.0128820859806791,0.0454691053161755,0.0414662185633114,0.0271671077220749,0.07025798096526,0.0798783696228549,0.0365067405478385,0.0476960593820856,0.0323232995652106,0.0677578926290544,0.0577526665618627,0.0750747181611521,0.0529911618460052,0.0612531950910753,0.0295977516017866,0.0189444538332871,0.0210293094131366,0.0491713583768887,0.0396741211111768,0.0324649142053525,0.0336921690274174,0.0140922815856793,0.0
RR,1,A5,91693.98909418998,1175.338444502335,413.7091821012268,283.3754809008631,0.728577857147023,408.4630855607028,0.9873036542687392,0.6849629961355959,91127.09030743998,0.7305862298282921,413.3026004897603,282.21146579044574,340.6267972078606,1207.5010887900144,0.7780072276716572,0.0556016865336883,1.27326175562757,1.4645138507471396,0.1717809367597172,0.0039104209280253,3.1341126238433705e-05,7.318014141697436e-07,-3.1254105034765545e-12,-4.521829358727861e-08,-1.585724745951045e-12,660.8727251632947,-41.83189075015554,-41.83189075015554,1410.1182484118572,1412.446571957437,658.5444016177148,0.0,62.80016908275397,11.927454927721552,1.4951084204108211,2.105339091650664,1.0114069141286373,0.4737782204824177,0.2183900886759794,0.5407016248617056,0.0627242421827435,0.3811669317151751,0.1473149598367006,0.0555497132510639,0.1135242810199579,0.1269398275495111,0.0196139180453747,0.0352231454080152,0.0555492692418484,0.0463819494645968,0.0829733196175026,0.0167217508019007,0.0551399412914282,0.0245610848032744,0.0363537803287142,0.0618911040194083,0.0620316666415023,0.0212612342539298,0.0347717484113012,0.0203775556456797,0.0242475367502042,0.0861499145868664,0.0562338228461217,0.0263400906347534,0.046911124915586,0.0564872440469888,0.027539719649798,0.1397274600509667,0.019400142006309,0.0121018837325037,0.0439363604575506,0.0073501477037462,0.0611097627699967,0.0563395366974574,0.0658891592405055,0.1187836717949984,0.0457606170880707,0.0901316804732051,0.1024119384390001,0.0658924225246538,0.0017799642346637,0.057396167145329,0.0
RR,1,A6,106025.19042323,1225.9981649133056,379.4644458883647,357.5848568321681,0.3346545696007382,394.1867300188199,0.9878864708782308,0.942340872001923,106501.3854041,0.4114229691490493,388.1472984443894,353.77473395816804,368.24146353388886,1316.0914959361464,0.7801771871539314,-0.4062800307823872,1.2942168342413658,1.0971594667082294,0.1618610914251968,0.000223970039973,0.000178543906231,6.642630203437755e-07,1.216382349804746e-12,1.930453849154439e-09,7.1310703393200025e-12,1067.8113354230456,76.5495188842285,76.5495188842285,1212.8114427579774,1245.7442427140015,1034.8785354670215,0.0,67.51417843685226,3.1911928442655526,4.875050097576642,1.2039429957453065,0.9295726586006924,0.7370969143437558,0.3867304450136767,0.707932368801732,0.3581750450509693,0.1620483521935413,0.1655921177641389,0.1435759115019719,0.0708811589918139,0.1331699577803136,0.1101366718986093,0.1369814761358386,0.0771506097873245,0.0990253953882619,0.0519886911612509,0.0858337339460298,0.0293277929815407,0.0089310621556695,0.0275482485877052,0.0389392620485443,0.0417933524608578,0.0188555417045246,0.0267456399249233,0.0426374747450742,0.0999036109549226,0.0345767826137338,0.0466695828881612,0.0270712257820418,0.0354628077419323,0.0493654401110573,0.0301525790264066,0.034850070577786,0.0056913258854974,0.0034885971191933,0.0563825675212589,0.0236631390044581,0.0727518796348537,0.0589015425737609,0.0494707819599947,0.060983562952259,0.0322280282721505,0.0575379803916761,0.0097512151524652,0.0140350016353245,0.0079871422364836,0.0197354266295832,0.0
RR,1,A7,88012.92630555999,1134.132467566273,363.9054268293099,314.6101764201462,0.5025669511937988,373.6722501093304,0.986946940159349,0.8645382927133823,90741.59913245,0.6242039143093758,387.4235329544876,302.679076105067,339.90556389671127,1209.9740702192407,0.7377704031465093,-4.028921929938099e-05,1.2839137040334352,1.279981219514506,0.1664834674157702,0.0016225463706955,0.0001843232822533,1.3882992343025111e-06,-1.4692922164918437e-11,-4.009769135368688e-08,-1.6653086302906978e-11,757.5312495262198,0.0194827193514403,0.0194827193514403,1241.1027768001013,1241.1027775850448,757.5312487412763,0.0,62.57651032735493,7.457742029695408,4.8295429256695686,1.77878297576423,1.3313996218369482,0.8797957492354292,0.4461159888899135,0.4452324243730471,0.2201987063143282,0.1970810779827575,0.1062198564392264,0.2892067066159569,0.1293718866994816,0.1265835666885101,0.1049546575745451,0.0520501450785312,0.0824108449158788,0.0363918084466192,0.0487505098794863,0.0613054656928056,0.0522846352113706,0.031072150113313,0.0306454113138329,0.0618465232590107,0.0368484012396397,0.0659229806808335,0.0336101054341264,0.0620970367601872,0.0233609323992258,0.0270957136031934,0.0514542053523731,0.0396786977830579,0.0238583975439063,0.0445130867842748,0.0546381272502028,0.0563441794903373,0.0303629815357975,0.0596334640592296,0.1057939368955286,0.0453800073231114,0.033363932905329,0.0393080416593759,0.0548828345540153,0.0448548027353712,0.0374838016297692,0.0444678960276893,0.073635062376306,0.0777802228317779,0.0183195555090496,0.006059929217054,0.0
RR,1,A8,110053.95113439998,1367.6275808311111,494.6244006913368,292.5496946630631,0.8063356058586291,513.1257459616112,0.9644939056703764,0.5914582747114099,110560.38071723,0.800327685889437,494.1462170357459,296.27170764993826,375.19308203930433,1441.1441800183409,0.696656506001143,0.040965745511331,1.4948770513307197,1.6678818944791296,0.1876561739448767,0.0078172544170744,0.0007622188759567,6.978564739091187e-05,1.596381911351092e-08,5.9284110978807565e-06,2.05016141431534e-09,727.9676885153388,-52.91968521638617,-52.91968521638617,2016.8791677763736,2019.048275662652,725.798580629061,0.0,69.80597056697677,18.494358996572394,7.539917835899106,2.413972313130522,1.8191953328485715,0.874064835002476,1.3300640137849058,0.8096027416641814,0.8029782414000652,0.6439948165820285,0.4815091242089604,0.2881138545222394,0.2898336049573862,0.1181933559274548,0.3173191572392861,0.2003583709990011,0.2117463139651949,0.026086603927235,0.1043885162321708,0.1083898131594155,0.06429500055699,0.1232199990727847,0.0603955915885167,0.0504084620740699,0.0102550647068389,0.0471153662334795,0.0832967324668383,0.0348254641198133,0.0352765915319906,0.0763529428797957,0.1024076012862214,0.0405641016255573,0.0382750850970094,0.0744719321613046,0.0746039884768622,0.0557289048927715,0.0658351866324361,0.0184125108870189,0.0151260720967192,0.0260825259063592,0.0342941313401529,0.0608062316304058,0.0611949563140148,0.024831812508028,0.0296494967283658,0.0309706399276211,0.0335108890913057,0.0276514053028044,0.0101953587604043,0.0221473886515909,0.0
RR,1,A9,99456.72314741998,1190.6145153196908,387.9793042362257,327.72919191309825,0.5352275462650635,394.5317345164645,0.9882830103650292,0.8447079221358584,100288.17470131998,0.5615227712487724,394.2517838778568,326.22808750939765,357.33859279264686,1257.1029436895642,0.747072072072072,-0.1281622084881312,1.2539554163872884,1.2085157562237787,0.1631917440358654,0.0009328777609946,8.878885442263187e-05,6.386413159954608e-07,-9.690614695605568e-13,-6.240900538188744e-09,4.7104630650232776e-12,886.6114617962809,51.37024915453232,51.37024915453232,1278.6165980715816,1285.236608179183,879.9914516886798,0.0,65.60552694324605,6.059599437863058,3.273351770112885,0.6353664723515116,1.5392915572525905,0.5598940820753658,0.905840296227132,0.3656860255456325,0.2290442391304432,0.1854085913778127,0.1037906804381246,0.1917212231488083,0.1213715001346922,0.0954519410466348,0.1362152437650342,0.1107685789669408,0.0885298101226006,0.092900408252033,0.1594204702419359,0.0359703158099192,0.0845307017239672,0.0647082657797457,0.0951774500781325,0.0737765170881576,0.0524393690002783,0.0177998124165476,0.0298723223013803,0.086287824790513,0.037634071692057,0.0773121365496377,0.0873245731647662,0.0509907268686513,0.0105660747787181,0.0708120844658776,0.054412706729386,0.0294611083103554,0.0535183310213798,0.0592900503325034,0.0885426398135035,0.0550194018834087,0.0753805771170609,0.0337053828590998,0.0610972271317424,0.0761747975269804,0.0457848233670564,0.0307027154228425,0.0671984758753298,0.0484720759148973,0.0206358642498654,0.0115586851736646,0.0
RR,1,A10,110507.47016379998,1254.5964391963994,405.6047931430351,347.9958544949061,0.5137034589990813,405.4168902562521,0.9889738212812014,0.8579678060465783,109638.22535744998,0.5029292998341732,402.5087739252842,347.8994237427429,373.62511176270095,1256.8740338904645,0.8043140734168792,0.1043221980484733,1.1465992330083534,1.1569687859641946,0.1613530096395202,0.000545714127626,2.007780669729962e-05,8.166309029755859e-08,9.131002471960612e-14,1.6863861150679562e-09,-5.0959275288140574e-14,1004.4648212760732,-35.09308023799517,-35.09308023799517,1335.9605835451666,1339.634909872281,1000.7904949489588,0.0,68.50499981933412,4.976895198100304,1.71572037812776,1.3728574297560368,0.7832237516663554,0.8434321750790715,0.3632555147808932,0.3242646670465482,0.2024382654925673,0.3190214302708106,0.1644287341413598,0.1514315538962006,0.0177032921535281,0.0957951113966971,0.0573922827193265,0.1666625703596965,0.1595517631189697,0.1225100200557828,0.1194486295551514,0.0355716976279697,0.0051622578645669,0.046440374092668,0.0630330428109001,0.1198065954282167,0.0624391044167476,0.02926276047779,0.0394194868903863,0.0291369748226382,0.0554247794675942,0.0313454351655176,0.0170415593201495,0.0143112878454771,0.0380121858697057,0.0268248778320704,0.0458667986260015,0.0258586718100369,0.0452260562019811,0.052089121503343,0.0292577338255628,0.0489080385215134,0.0197649921857965,0.0610549565355443,0.0945676513687858,0.0281627410428114,0.0502241730530774,0.0637767387874844,0.0377231604740619,0.0274284834716171,0.033735237160439,0.0030020903814514,0.0
