,original_names,plot_names
74,048h_str_BF_AreaShape_locoefa_coeff_50,048h str  LoCo EFA Coeff 50
75,048h_str_BF_AreaShape_locoefa_coeff_51,048h str  LoCo EFA Coeff 51
76,048h_str_BF_AreaShape_locoefa_coeff_6,048h str  LoCo EFA Coeff 6
77,048h_str_BF_AreaShape_locoefa_coeff_7,048h str  LoCo EFA Coeff 7
78,048h_str_BF_AreaShape_locoefa_coeff_8,048h str  LoCo EFA Coeff 8
79,048h_str_BF_AreaShape_locoefa_coeff_9,048h str  LoCo EFA Coeff 9
80,048h_str_BF_AreaShape_major_axis_length,048h str  Major Axis Length
81,048h_str_BF_AreaShape_minor_axis_length,048h str  Minor Axis Length
82,048h_str_BF_AreaShape_moments_hu_0,048h str  Moments Hu 0
83,048h_str_BF_AreaShape_moments_hu_1,048h str  Moments Hu 1
84,048h_str_BF_AreaShape_moments_hu_2,048h str  Moments Hu 2
85,048h_str_BF_AreaShape_moments_hu_3,048h str  Moments Hu 3
86,048h_str_BF_AreaShape_moments_hu_4,048h str  Moments Hu 4
87,048h_str_BF_AreaShape_moments_hu_5,048h str  Moments Hu 5
88,048h_str_BF_AreaShape_moments_hu_6,048h str  Moments Hu 6
89,048h_str_BF_AreaShape_orientation,048h str  Orientation
90,048h_str_BF_AreaShape_perimeter,048h str  Perimeter
91,072h_raw_BF_AreaShape_area,072h  Area
92,072h_raw_BF_AreaShape_aspect_ratio,072h  Aspect Ratio
93,072h_raw_BF_AreaShape_axis_major_length,072h  Axis Major Length
94,072h_raw_BF_AreaShape_axis_minor_length,072h  Axis Minor Length
95,072h_raw_BF_AreaShape_eccentricity,072h  Eccentricity
96,072h_raw_BF_AreaShape_feret_diameter_max,072h  Feret Diameter Max
97,072h_raw_BF_AreaShape_perimeter,072h  Perimeter
98,072h_raw_BF_AreaShape_solidity,072h  Solidity
99,072h_str_BF_AreaShape_area,072h str  Area
100,072h_str_BF_AreaShape_aspect_ratio,072h str  Aspect Ratio
101,072h_str_BF_AreaShape_eccentricity,072h str  Eccentricity
102,072h_str_BF_AreaShape_equivalent_diameter,072h str  Equivalent Diameter
103,072h_str_BF_AreaShape_extent,072h str  Extent
104,072h_str_BF_AreaShape_form_factor,072h str  Form Factor
105,072h_str_BF_AreaShape_inertia_tensor_0_0,072h str  Inertia Tensor 0 0
106,072h_str_BF_AreaShape_inertia_tensor_0_1,072h str  Inertia Tensor 0 1
107,072h_str_BF_AreaShape_inertia_tensor_1_0,072h str  Inertia Tensor 1 0
108,072h_str_BF_AreaShape_inertia_tensor_1_1,072h str  Inertia Tensor 1 1
109,072h_str_BF_AreaShape_inertia_tensor_eigvals_0,072h str  Inertia Tensor Eigvals 0
110,072h_str_BF_AreaShape_inertia_tensor_eigvals_1,072h str  Inertia Tensor Eigvals 1
111,072h_str_BF_AreaShape_locoefa_PC_1,072h str  LoCo EFA Pc 1
112,072h_str_BF_AreaShape_locoefa_PC_2,072h str  LoCo EFA Pc 2
113,072h_str_BF_AreaShape_locoefa_PC_3,072h str  LoCo EFA Pc 3
114,072h_str_BF_AreaShape_locoefa_PC_4,072h str  LoCo EFA Pc 4
115,072h_str_BF_AreaShape_locoefa_PC_5,072h str  LoCo EFA Pc 5
116,072h_str_BF_AreaShape_locoefa_UMAP_1,072h str  LoCo EFA Umap 1
117,072h_str_BF_AreaShape_locoefa_UMAP_2,072h str  LoCo EFA Umap 2
118,072h_str_BF_AreaShape_locoefa_UMAP_3,072h str  LoCo EFA Umap 3
119,072h_str_BF_AreaShape_locoefa_coeff_0,072h str  LoCo EFA Coeff 0
120,072h_str_BF_AreaShape_locoefa_coeff_1,072h str  LoCo EFA Coeff 1
121,072h_str_BF_AreaShape_locoefa_coeff_10,072h str  LoCo EFA Coeff 10
122,072h_str_BF_AreaShape_locoefa_coeff_11,072h str  LoCo EFA Coeff 11
123,072h_str_BF_AreaShape_locoefa_coeff_12,072h str  LoCo EFA Coeff 12
124,072h_str_BF_AreaShape_locoefa_coeff_13,072h str  LoCo EFA Coeff 13
125,072h_str_BF_AreaShape_locoefa_coeff_14,072h str  LoCo EFA Coeff 14
126,072h_str_BF_AreaShape_locoefa_coeff_15,072h str  LoCo EFA Coeff 15
127,072h_str_BF_AreaShape_locoefa_coeff_16,072h str  LoCo EFA Coeff 16
128,072h_str_BF_AreaShape_locoefa_coeff_17,072h str  LoCo EFA Coeff 17
129,072h_str_BF_AreaShape_locoefa_coeff_18,072h str  LoCo EFA Coeff 18
130,072h_str_BF_AreaShape_locoefa_coeff_19,072h str  LoCo EFA Coeff 19
131,072h_str_BF_AreaShape_locoefa_coeff_2,072h str  LoCo EFA Coeff 2
132,072h_str_BF_AreaShape_locoefa_coeff_20,072h str  LoCo EFA Coeff 20
133,072h_str_BF_AreaShape_locoefa_coeff_21,072h str  LoCo EFA Coeff 21
134,072h_str_BF_AreaShape_locoefa_coeff_22,072h str  LoCo EFA Coeff 22
135,072h_str_BF_AreaShape_locoefa_coeff_23,072h str  LoCo EFA Coeff 23
136,072h_str_BF_AreaShape_locoefa_coeff_24,072h str  LoCo EFA Coeff 24
137,072h_str_BF_AreaShape_locoefa_coeff_25,072h str  LoCo EFA Coeff 25
138,072h_str_BF_AreaShape_locoefa_coeff_26,072h str  LoCo EFA Coeff 26
139,072h_str_BF_AreaShape_locoefa_coeff_27,072h str  LoCo EFA Coeff 27
140,072h_str_BF_AreaShape_locoefa_coeff_28,072h str  LoCo EFA Coeff 28
141,072h_str_BF_AreaShape_locoefa_coeff_29,072h str  LoCo EFA Coeff 29
142,072h_str_BF_AreaShape_locoefa_coeff_3,072h str  LoCo EFA Coeff 3
143,072h_str_BF_AreaShape_locoefa_coeff_30,072h str  LoCo EFA Coeff 30
144,072h_str_BF_AreaShape_locoefa_coeff_31,072h str  LoCo EFA Coeff 31
145,072h_str_BF_AreaShape_locoefa_coeff_32,072h str  LoCo EFA Coeff 32
146,072h_str_BF_AreaShape_locoefa_coeff_33,072h str  LoCo EFA Coeff 33
147,072h_str_BF_AreaShape_locoefa_coeff_34,072h str  LoCo EFA Coeff 34
148,072h_str_BF_AreaShape_locoefa_coeff_35,072h str  LoCo EFA Coeff 35
149,072h_str_BF_AreaShape_locoefa_coeff_36,072h str  LoCo EFA Coeff 36
150,072h_str_BF_AreaShape_locoefa_coeff_37,072h str  LoCo EFA Coeff 37
151,072h_str_BF_AreaShape_locoefa_coeff_38,072h str  LoCo EFA Coeff 38
152,072h_str_BF_AreaShape_locoefa_coeff_39,072h str  LoCo EFA Coeff 39
153,072h_str_BF_AreaShape_locoefa_coeff_4,072h str  LoCo EFA Coeff 4
154,072h_str_BF_AreaShape_locoefa_coeff_40,072h str  LoCo EFA Coeff 40
155,072h_str_BF_AreaShape_locoefa_coeff_41,072h str  LoCo EFA Coeff 41
156,072h_str_BF_AreaShape_locoefa_coeff_42,072h str  LoCo EFA Coeff 42
157,072h_str_BF_AreaShape_locoefa_coeff_43,072h str  LoCo EFA Coeff 43
158,072h_str_BF_AreaShape_locoefa_coeff_44,072h str  LoCo EFA Coeff 44
