,original_names,plot_names
71,raw_CH_bra_mask_RadialDistribution_MeanFrac_6of9,[Radial Distribution Mean 6of9]-TmCH(BF)
72,raw_CH_bra_mask_RadialDistribution_MeanFrac_7of9,[Radial Distribution Mean 7of9]-TmCH(BF)
73,raw_CH_bra_mask_RadialDistribution_MeanFrac_8of9,[Radial Distribution Mean 8of9]-TmCH(BF)
74,raw_CH_bra_mask_RadialDistribution_MeanFrac_9of9,[Radial Distribution Mean 9of9]-TmCH(BF)
75,raw_CH_bra_mask_RadialDistribution_RadialCV_1of9,[Radial Distribution Radial CV 1of9]-TmCH(BF)
76,raw_CH_bra_mask_RadialDistribution_RadialCV_2of9,[Radial Distribution Radial CV 2of9]-TmCH(BF)
77,raw_CH_bra_mask_RadialDistribution_RadialCV_3of9,[Radial Distribution Radial CV 3of9]-TmCH(BF)
78,raw_CH_bra_mask_RadialDistribution_RadialCV_4of9,[Radial Distribution Radial CV 4of9]-TmCH(BF)
79,raw_CH_bra_mask_RadialDistribution_RadialCV_5of9,[Radial Distribution Radial CV 5of9]-TmCH(BF)
80,raw_CH_bra_mask_RadialDistribution_RadialCV_6of9,[Radial Distribution Radial CV 6of9]-TmCH(BF)
81,raw_CH_bra_mask_RadialDistribution_RadialCV_7of9,[Radial Distribution Radial CV 7of9]-TmCH(BF)
82,raw_CH_bra_mask_RadialDistribution_RadialCV_8of9,[Radial Distribution Radial CV 8of9]-TmCH(BF)
83,raw_CH_bra_mask_RadialDistribution_RadialCV_9of9,[Radial Distribution Radial CV 9of9]-TmCH(BF)
84,str_CH_AreaShape_Bra_MajorAxis_Polarisation,[Major Axis Polarisation]-TmCH(BF)
85,str_CH_AreaShape_Bra_MinorAxis_Polarisation,[Minor Axis Polarisation]-TmCH(BF)
