,Accuracy,Classifier,Feature Set
113,0.6346153846153846,XG Boost,Manually Selected Features 96h
114,0.75,XG Boost,Manually Selected Features 96h
115,0.8076923076923077,XG Boost,Manually Selected Features 96h
116,0.8846153846153846,XG Boost,Manually Selected Features 96h
117,0.7057142857142857,XG Boost,Manually Selected Features 96h
118,0.7214285714285715,XG Boost,Manually Selected Features 96h
119,0.7571428571428571,XG Boost,Manually Selected Features 96h
120,0.7472527472527473,SVC,PLSR Selected Features
121,0.6538461538461539,SVC,PLSR Selected Features
122,0.7115384615384615,SVC,PLSR Selected Features
123,0.6153846153846154,SVC,PLSR Selected Features
124,0.7884615384615384,SVC,PLSR Selected Features
125,0.7692307692307692,SVC,PLSR Selected Features
126,0.96,SVC,PLSR Selected Features
127,0.7614285714285715,SVC,PLSR Selected Features
128,0.7571428571428571,SVC,PLSR Selected Features
129,0.8685714285714285,SVC,PLSR Selected Features
130,0.7472527472527473,RF,PLSR Selected Features
131,0.6373626373626373,RF,PLSR Selected Features
132,0.6346153846153846,RF,PLSR Selected Features
133,0.6730769230769231,RF,PLSR Selected Features
134,0.8076923076923077,RF,PLSR Selected Features
135,0.8076923076923077,RF,PLSR Selected Features
136,0.9642857142857143,RF,PLSR Selected Features
137,0.61,RF,PLSR Selected Features
138,0.7971428571428572,RF,PLSR Selected Features
139,0.7214285714285715,RF,PLSR Selected Features
140,0.6346153846153846,LDA,PLSR Selected Features
141,0.5824175824175825,LDA,PLSR Selected Features
142,0.6923076923076923,LDA,PLSR Selected Features
143,0.6538461538461539,LDA,PLSR Selected Features
144,0.7115384615384616,LDA,PLSR Selected Features
145,0.7307692307692308,LDA,PLSR Selected Features
146,0.9085714285714286,LDA,PLSR Selected Features
147,0.6814285714285715,LDA,PLSR Selected Features
148,0.63,LDA,PLSR Selected Features
149,0.7171428571428571,LDA,PLSR Selected Features
150,0.6703296703296704,XG Boost,PLSR Selected Features
151,0.6538461538461539,XG Boost,PLSR Selected Features
152,0.6153846153846154,XG Boost,PLSR Selected Features
153,0.6730769230769231,XG Boost,PLSR Selected Features
154,0.8269230769230769,XG Boost,PLSR Selected Features
155,0.8076923076923077,XG Boost,PLSR Selected Features
156,0.8728571428571428,XG Boost,PLSR Selected Features
157,0.7928571428571429,XG Boost,PLSR Selected Features
158,0.7214285714285715,XG Boost,PLSR Selected Features
159,0.7728571428571429,XG Boost,PLSR Selected Features
160,0.7060439560439561,SVC,PLSR Selected Features 96h
161,0.6565934065934066,SVC,PLSR Selected Features 96h
162,0.6373626373626373,SVC,PLSR Selected Features 96h
163,0.6730769230769231,SVC,PLSR Selected Features 96h
164,0.6923076923076923,SVC,PLSR Selected Features 96h
165,0.8653846153846154,SVC,PLSR Selected Features 96h
166,0.8846153846153846,SVC,PLSR Selected Features 96h
167,0.7614285714285715,SVC,PLSR Selected Features 96h
168,0.7014285714285715,SVC,PLSR Selected Features 96h
169,0.8128571428571428,SVC,PLSR Selected Features 96h
170,0.695054945054945,RF,PLSR Selected Features 96h
171,0.6730769230769231,RF,PLSR Selected Features 96h
172,0.6675824175824177,RF,PLSR Selected Features 96h
173,0.6346153846153846,RF,PLSR Selected Features 96h
174,0.7115384615384616,RF,PLSR Selected Features 96h
175,0.8461538461538461,RF,PLSR Selected Features 96h
176,0.8846153846153846,RF,PLSR Selected Features 96h
177,0.7371428571428571,RF,PLSR Selected Features 96h
178,0.7214285714285715,RF,PLSR Selected Features 96h
179,0.6457142857142857,RF,PLSR Selected Features 96h
180,0.5796703296703296,LDA,PLSR Selected Features 96h
181,0.6565934065934066,LDA,PLSR Selected Features 96h
182,0.6538461538461539,LDA,PLSR Selected Features 96h
183,0.6346153846153846,LDA,PLSR Selected Features 96h
184,0.8461538461538461,LDA,PLSR Selected Features 96h
185,0.7884615384615385,LDA,PLSR Selected Features 96h
186,0.8846153846153846,LDA,PLSR Selected Features 96h
187,0.7814285714285715,LDA,PLSR Selected Features 96h
188,0.61,LDA,PLSR Selected Features 96h
189,0.7371428571428571,LDA,PLSR Selected Features 96h
190,0.6895604395604396,XG Boost,PLSR Selected Features 96h
191,0.7252747252747254,XG Boost,PLSR Selected Features 96h
192,0.5961538461538461,XG Boost,PLSR Selected Features 96h
193,0.7115384615384616,XG Boost,PLSR Selected Features 96h
194,0.8653846153846154,XG Boost,PLSR Selected Features 96h
195,0.8269230769230769,XG Boost,PLSR Selected Features 96h
196,0.8269230769230769,XG Boost,PLSR Selected Features 96h
197,0.7371428571428571,XG Boost,PLSR Selected Features 96h
198,0.7728571428571429,XG Boost,PLSR Selected Features 96h
199,0.7571428571428571,XG Boost,PLSR Selected Features 96h
