Run,Plate,ID,area,perimeter,axis_major_length,axis_minor_length,eccentricity,feret_diameter_max,solidity,aspect_ratio
RR,1,A1,74513.17653042,1022.9881471553026,314.86794143229764,301.770504125419,0.285417119257404,324.7085087967514,0.9878745365267061,0.9584033952542139
RR,1,A2,60265.12035676999,917.0661081735585,284.44074659575716,270.55910491583205,0.3085851612385661,292.30632073042824,0.987001733102253,0.9511967190141943
RR,1,A3,75095.19261814999,1037.2063524612379,328.7760894165644,291.81221760640454,0.4606703878457186,340.2585040161818,0.9850287527265517,0.887571289397125
RR,1,A4,63598.48522285999,954.0602604201407,298.47624221079957,271.82141032686314,0.41307508175489704,302.73525924683764,0.9859385985469885,0.9106969731108067
RR,1,A5,66697.53192375999,966.6679630731085,305.1397460017874,278.7087857121276,0.4071062659961864,311.4848915912937,0.9868038470140909,0.9133808013017585
RR,1,A6,75344.62808432,1029.7064763379467,310.4682057863136,309.53808349618623,0.07734833005413908,322.73550122693354,0.9874195146111937,0.9970041303012922
RR,1,A7,64271.20511646999,944.6735630731083,288.5419177290761,283.8620772418431,0.17937335834261342,298.06774038708045,0.9881464264962231,0.9837810723514111
RR,1,A8,64671.81359243999,947.2274763379468,293.21819740800885,281.14611679664176,0.2839839975513591,301.29618713966494,0.9887900150236912,0.9588290197604314
RR,1,A9,68708.13295409999,998.8780161324615,314.7102884450772,280.49037188804897,0.4534821889177863,336.20240842007655,0.9854726799653079,0.8912653389054986
RR,1,A10,70658.26478052,993.8846445023348,311.4017880343392,289.660392655689,0.36709824344223074,331.2992058023834,0.9879518072289156,0.9301821755234987
RR,1,A11,65185.80182575999,956.3378551142055,296.0049573445781,281.27605891222527,0.3115155908326477,304.1923721900008,0.9871794871794872,0.950241041351186
RR,1,A12,73152.61944221999,1007.0449842968496,314.1495655949631,296.776481311631,0.32794145608948677,316.59953276637975,0.9884587886834848,0.9446980477263132
RR,1,B1,64036.886951279994,947.2274763379467,296.8877801057649,274.9701367006596,0.37709317736074405,305.37038346101934,0.986722571628232,0.9261753265920974
RR,1,B2,68768.60215801999,990.6636391963995,298.6161439643813,294.112079086575,0.17302817978130106,310.31791318356085,0.9865538928648883,0.9849168741582052
RR,1,B3,64225.85321352999,950.1721630731085,298.4338502755059,274.61476493926784,0.3914805518237686,313.9142023517413,0.987334417848013,0.9201863819595233
RR,1,B4,65435.23729192999,965.0574604201407,292.2564671153318,285.70452763306633,0.2105571887582478,299.78718172413573,0.9862155388471178,0.9775815414901325
RR,1,B5,69123.85873104999,985.4413577671731,303.4804713901428,290.3657528100187,0.2907941983649249,310.09861582048376,0.9875809935205183,0.9567856260402853
RR,1,B6,,,,,,,,
RR,1,B7,62510.03955229999,945.2262002146556,300.2792997280985,265.79264412847516,0.46530311598426827,317.8266904279123,0.9834700915685575,0.8851514052721887
